NumberOfThreads, TotalCreationTime, TotalRSS
9000, 0.139475, 75952
9000, 0.143042, 75824
9000, 0.141511, 75952
9000, 0.148429, 75952
9000, 0.139824, 75884
9000, 0.139505, 75936
9000, 0.137208, 75872
9000, 0.141899, 75892
9000, 0.134810, 75912
9000, 0.147258, 75948
9000, 0.141418, 75820
9000, 0.144495, 75820
9000, 0.135970, 75856
9000, 0.133668, 75952
9000, 0.140247, 75936
9000, 0.139550, 75884
9000, 0.143664, 75936
9000, 0.143101, 75856
9000, 0.138151, 75892
9000, 0.140079, 75856
9000, 0.136005, 75892
9000, 0.142072, 75892
9000, 0.149735, 75952
9000, 0.137265, 75912
9000, 0.142569, 75952
9000, 0.138209, 75960
9000, 0.140592, 75952
9000, 0.140459, 75952
9000, 0.140158, 75872
9000, 0.141456, 75948
9000, 0.140274, 75900
9000, 0.141301, 75952
9000, 0.137245, 75952
9000, 0.137818, 75952
9000, 0.147627, 75952
9000, 0.137809, 75900
9000, 0.135684, 75856
9000, 0.138345, 75936
9000, 0.134857, 75892
9000, 0.142310, 75948
9000, 0.141288, 75864
9000, 0.143980, 75952
9000, 0.145625, 75936
9000, 0.141152, 75876
9000, 0.141591, 75892
10000, 0.170039, 84340
10000, 0.151203, 84360
10000, 0.167243, 84408
10000, 0.155525, 84340
10000, 0.160870, 84348
10000, 0.154993, 84400
10000, 0.151704, 84400
10000, 0.162587, 84340
10000, 0.159439, 84268
10000, 0.160322, 84400
10000, 0.163033, 84360
10000, 0.160375, 84340
10000, 0.160833, 84268
10000, 0.158083, 84304
10000, 0.155829, 84340
10000, 0.155148, 84268
10000, 0.154256, 84340
10000, 0.158838, 84340
10000, 0.156942, 84400
10000, 0.159246, 84400
10000, 0.153705, 84332
10000, 0.158165, 84304
10000, 0.158048, 84320
10000, 0.156786, 84332
10000, 0.154981, 84400
10000, 0.159914, 84340
10000, 0.157323, 84400
10000, 0.152016, 84340
10000, 0.159516, 84360
10000, 0.160039, 84312
10000, 0.152387, 84404
10000, 0.159886, 84400
10000, 0.162261, 84400
10000, 0.178812, 84312
10000, 0.159811, 84268
10000, 0.174408, 84340
10000, 0.163345, 84312
10000, 0.159912, 84268
10000, 0.154530, 84348
10000, 0.159901, 84268
10000, 0.157372, 84304
10000, 0.163579, 84340
10000, 0.156755, 84408
10000, 0.165920, 84268
10000, 0.157290, 84400
10000, 0.164548, 84340
10000, 0.156594, 84384
10000, 0.161601, 84332
10000, 0.154955, 84396
10000, 0.160499, 84408
10000, 0.159015, 84400
10000, 0.156643, 84304
10000, 0.154555, 84396
10000, 0.161168, 84340
10000, 0.154902, 84400
10000, 0.152020, 84320
10000, 0.161470, 84400
10000, 0.159271, 84396
10000, 0.162028, 84340
10000, 0.156303, 84312
10000, 0.156532, 84332
10000, 0.159921, 84400
10000, 0.155156, 84400
10000, 0.161864, 84396
10000, 0.156057, 84312
10000, 0.159569, 84340
10000, 0.153466, 84312
10000, 0.161358, 84340
10000, 0.162949, 84348
10000, 0.160680, 84340
10000, 0.161769, 84320
10000, 0.162936, 84312
10000, 0.159838, 84268
10000, 0.155712, 84340
10000, 0.160029, 84340
10000, 0.158282, 84400
10000, 0.161942, 84304
10000, 0.151892, 84400
10000, 0.156704, 84396
10000, 0.155068, 84400
10000, 0.158636, 84400
10000, 0.153883, 84412
10000, 0.156629, 84348
10000, 0.164895, 84340
10000, 0.159417, 84404
10000, 0.157522, 84400
10000, 0.157911, 84400
10000, 0.152811, 84320
10000, 0.156443, 84400
10000, 0.159987, 84408
10000, 0.153585, 84340
10000, 0.161200, 84320
10000, 0.157848, 84408
10000, 0.158204, 84340
10000, 0.155604, 84340
10000, 0.154107, 84400
10000, 0.160163, 84340
10000, 0.158728, 84340
10000, 0.156915, 84320
10000, 0.161770, 84340
10000, 0.159396, 84268
