NumberCreated, TotalCreationTime, TotalRSS
80, 0.006383, 7060
80, 0.005127, 6984
80, 0.002236, 7136
80, 0.002489, 7076
80, 0.003341, 7076
80, 0.005158, 7148
80, 0.004260, 6984
80, 0.002397, 7076
90, 0.003408, 7784
90, 0.006779, 8040
90, 0.002617, 7784
90, 0.004679, 7780
90, 0.004143, 7796
90, 0.004170, 7812
90, 0.003402, 7856
90, 0.006643, 7752
90, 0.004353, 7784
90, 0.006525, 7744
90, 0.004161, 7712
90, 0.002499, 7928
90, 0.003332, 7744
90, 0.005427, 7868
90, 0.006018, 7744
90, 0.002554, 7796
90, 0.006582, 7704
90, 0.006046, 7852
90, 0.004582, 7796
90, 0.003006, 7780
90, 0.003819, 7784
90, 0.004140, 7752
90, 0.004412, 7812
90, 0.002848, 7928
90, 0.003227, 7868
90, 0.003183, 7712
90, 0.004477, 7708
90, 0.006156, 7704
90, 0.006428, 7784
90, 0.002543, 7764
90, 0.002862, 7712
90, 0.004098, 7856
90, 0.003635, 7856
90, 0.004175, 7764
90, 0.002799, 7712
90, 0.004621, 7712
90, 0.004888, 7796
90, 0.002618, 7808
90, 0.004348, 7812
90, 0.004322, 7744
90, 0.003452, 7744
90, 0.002512, 8144
90, 0.006294, 8008
90, 0.004337, 7868
90, 0.002365, 7780
90, 0.003119, 7780
90, 0.002801, 7708
90, 0.003852, 7744
90, 0.005576, 7856
90, 0.005869, 7852
90, 0.003108, 7796
90, 0.002735, 7812
90, 0.002757, 7744
90, 0.004187, 7856
90, 0.004502, 7928
90, 0.004092, 7928
90, 0.004077, 7868
90, 0.004581, 7856
90, 0.004827, 7708
90, 0.005846, 7752
90, 0.005136, 7868
90, 0.002870, 7780
90, 0.005968, 7852
90, 0.005534, 7856
90, 0.003971, 7868
90, 0.004899, 7868
90, 0.003290, 8216
90, 0.004010, 7852
90, 0.005462, 7856
90, 0.002874, 7796
90, 0.002805, 7704
90, 0.004858, 7928
90, 0.004286, 7784
90, 0.006943, 7752
90, 0.006654, 7712
90, 0.006124, 7856
90, 0.006409, 7796
90, 0.004901, 7796
90, 0.003859, 7784
90, 0.003050, 7812
90, 0.005493, 7868
90, 0.006589, 7764
90, 0.002903, 7852
90, 0.005800, 7744
90, 0.006079, 8216
90, 0.003530, 7744
90, 0.006040, 7744
90, 0.002655, 7784
90, 0.002911, 7812
90, 0.006618, 7852
90, 0.005556, 7928
90, 0.006090, 7796
90, 0.006389, 7856
90, 0.003150, 7708
90, 0.004527, 7704
90, 0.005056, 7868
90, 0.006526, 7868
90, 0.003952, 7796
90, 0.004811, 7752
90, 0.004091, 7812
90, 0.005835, 7812
100, 0.006211, 8424
100, 0.004453, 8516
100, 0.006922, 8428
100, 0.003972, 8504
100, 0.006329, 8588
100, 0.010597, 8432
100, 0.004062, 8504
100, 0.009136, 8576
100, 0.003253, 8500
100, 0.012190, 8428
100, 0.003234, 8424
100, 0.010531, 8576
100, 0.012216, 8576
100, 0.013124, 8532
100, 0.012252, 8484
100, 0.013073, 8504
100, 0.010987, 8516
100, 0.011287, 8464
100, 0.012004, 8472
100, 0.011648, 8516
100, 0.011442, 8428
100, 0.012328, 8576
100, 0.011405, 8500
100, 0.011170, 8500
100, 0.009963, 8576
100, 0.011715, 8588
100, 0.011779, 8500
100, 0.011504, 8464
100, 0.013301, 8484
100, 0.012215, 8432
100, 0.009934, 8648
100, 0.012750, 8532
100, 0.011449, 8588
100, 0.011098, 8516
100, 0.003420, 8432
100, 0.011175, 8516
100, 0.011341, 8464
100, 0.003272, 8472
100, 0.012001, 8588
100, 0.012331, 8516
100, 0.010061, 8576
100, 0.011564, 8424
100, 0.010835, 8500
100, 0.003292, 8504
100, 0.010369, 8588
100, 0.003502, 8572
100, 0.011546, 8472
100, 0.012048, 8504
100, 0.011258, 8572
100, 0.011795, 8484
100, 0.003412, 8588
100, 0.003246, 8588
100, 0.002793, 8588
100, 0.012442, 8484
100, 0.012156, 8648
100, 0.013010, 8516
100, 0.011874, 8516
100, 0.012684, 8424
100, 0.010631, 8532
100, 0.011282, 8516
100, 0.011754, 8464
100, 0.010434, 8588
100, 0.011916, 8472
100, 0.002825, 8576
100, 0.012100, 8500
100, 0.012225, 8572
100, 0.012220, 8516
100, 0.012299, 8648
100, 0.012563, 8500
100, 0.011624, 8828
100, 0.012297, 8432
100, 0.012821, 8648
100, 0.011045, 8464
100, 0.003121, 8500
100, 0.011247, 8464
100, 0.011768, 8648
100, 0.010450, 8648
100, 0.012183, 8432
100, 0.010927, 8484
100, 0.012230, 8516
100, 0.011022, 8484
100, 0.012151, 8576
100, 0.010641, 8428
100, 0.011826, 8432
100, 0.011476, 8516
100, 0.010603, 8576
100, 0.012075, 8588
100, 0.011218, 8424
100, 0.011883, 8588
100, 0.012285, 8500
100, 0.010779, 8572
100, 0.011550, 8648
100, 0.010838, 8464
100, 0.011680, 8424
100, 0.012295, 8516
100, 0.011311, 8572
100, 0.011268, 8572
100, 0.010731, 8516
100, 0.011552, 8432
100, 0.010527, 8464
100, 0.010637, 8472
